time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2003-02-18 11:32;35.842;-3.674;0;2.6;mblg;12;;;;us;usp000bqyn;2014-11-06 20:17;69 km NNE of Al Hoceïma, Morocco;earthquake;;;;;reviewed;mdd;mdd
2003-02-18 09:52;35.835;-3.491;0;2.8;mblg;13;;;;us;usp000bqyf;2014-11-06 20:17;76 km NNE of Al Hoceïma, Morocco;earthquake;;;;;reviewed;mdd;mdd
2003-02-18 08:59;35.891;-3.566;10;3.9;mblg;56;;;1.23;us;usp000bqyc;2014-11-06 20:17;78 km NNE of Al Hoceïma, Morocco;earthquake;;;;;reviewed;us;mdd
2003-02-18 08:22;35.88;-3.515;0;3;mblg;19;;;;us;usp000bqy6;2014-11-06 20:17;79 km NNE of Al Hoceïma, Morocco;earthquake;;;;;reviewed;mdd;mdd
2003-02-18 08:09;35.836;-3.487;10;4.7;mb;187;;;1.07;us;usp000bqy4;2014-11-06 20:17;76 km NNE of Al Hoceïma, Morocco;earthquake;;;;52;reviewed;us;us
2003-02-18 00:36;35.882;-3.444;0;3;mblg;18;;;;us;usp000bqxd;2014-11-06 20:17;79 km NW of Melilla, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-17 21:57;41.251;-8.48;18.9;2.7;mblg;8;;;;us;usp000bqx5;2014-11-06 20:17;1 km E of Água Longa, Portugal;earthquake;;;;;reviewed;mdd;mdd
2003-02-17 10:21;35.954;-3.52;3.3;3.2;mblg;22;;;;us;usp000bqwg;2014-11-06 20:17;83 km S of Torrenueva, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-16 13:53;45.954;7.883;2.4;2.5;ml;29;;;;us;usp000bqud;2014-11-06 20:17;6 km WSW of Staffa, Italy;earthquake;;;;;reviewed;gen;gen
2003-02-16 02:09;36.343;-5.113;0;2.6;mblg;10;;;;us;usp000bqt9;2014-11-06 20:17;9 km SSE of Estepona, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-15 20:39;38.254;-0.786;10.8;2.5;mblg;9;;;;us;usp000bqsj;2014-11-06 20:17;2 km ENE of Crevillente, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-15 17:53;49.14;6.85;1;3.3;ml;53;;;;us;usp000bqs6;2014-11-06 20:17;0 km SW of Cocheren, France;earthquake;;;;;reviewed;fbb;ldg
2003-02-15 03:28;45.701;6.547;2;2.9;ml;44;;;;us;usp000bqqv;2014-11-06 20:17;2 km SW of Beaufort, France;earthquake;;;;;reviewed;ldg;ldg
2003-02-14 22:56;35.712;-3.686;11;3.1;mblg;55;;;;us;usp000bqqc;2014-11-06 20:17;55 km NNE of Al Hoceïma, Morocco;earthquake;;;;;reviewed;mdd;mdd
2003-02-13 23:49;46.4;-0.81;10;4.1;ml;68;;;;us;usp000bqn0;2014-11-06 20:17;5 km NE of Vix, France;earthquake;;;;;reviewed;str;ldg
2003-02-12 21:04;42.45;1.91;10;2.5;ml;18;;;;us;usp000bqjx;2014-11-06 20:17;2 km NW of Puigcerdà, Spain;earthquake;;;;;reviewed;str;str
2003-02-12 18:19;42.088;-8.129;15;2.8;mblg;8;;;;us;usp000bqjc;2014-11-06 20:17;5 km SSE of Padrenda, Spain;earthquake;;;;;reviewed;mdd;mdd
